Business Legal Name,City,zipcode,Race or Ethnicity,Gender,Race Adjusted,Ethnicity Adjusted,Top City,Chicago Region,Illinois Region
Chicago Children's Theatre,Chicago,60607,White,Female,White,,Chicago,Near West,City of Chicago
CROSSHAIR,Chicago,60607,White,Male,White,,Chicago,Near West,City of Chicago
Herwald Studios LLC,Chicago,60607,White,Male,White,,Chicago,Near West,City of Chicago
Keith Thomson,Chicago,60607,White,Female,White,,Chicago,Near West,City of Chicago
"Maggie Speaks, Inc.",Chicago,60607,White,Male,White,,Chicago,Near West,City of Chicago
"Magnificent Events, Ltd.",Chicago,60607,White,Male,White,,Chicago,Near West,City of Chicago
Taylor Street Tattoo LLC.,Chicago,60607,White,Male,White,,Chicago,Near West,City of Chicago
Full Spectrum Features NFP,Chicago,60608,Asian American,Male,Asian American,,Chicago,Near South,City of Chicago
Hope Wang Studios LLC,Chicago,60608,Asian American,Female,Asian American,,Chicago,Near South,City of Chicago
"Genesis Music and Arts, LLC",Chicago,60608,Black or African American Hispanic or Latino/a/x,Female,Black or African American,Hispanic or Latino/a/x,Chicago,Near South,City of Chicago
Cole DeGenova,Chicago,60608,I decline to answer,Male,I decline to answer,,Chicago,Near South,City of Chicago
Eric Noden,Chicago,60608,I decline to answer,I decline to answer,I decline to answer,,Chicago,Near South,City of Chicago
"High Concept Laboratories, NFP",Chicago,60608,I decline to answer,Female,I decline to answer,,Chicago,Near South,City of Chicago
MASHALLAH,Chicago,60608,Middle Eastern or North African (MENA)/Arab American,Female,Middle Eastern or North African (MENA)/Arab American,,Chicago,Near South,City of Chicago
Chicago Public Art Group,Chicago,60608,Multiple Races,Female,Multiracial,,Chicago,Near South,City of Chicago
David Antonio Herrero,Chicago,60608,Multiple Races,Male,Multiracial,,Chicago,Near South,City of Chicago
"Museum Of Universal Self Expression (MUSE, Inc.)",Chicago,60608,Multiple Races,Female,Multiracial,,Chicago,Near South,City of Chicago
Evan S Levine,Chicago,60608,Asian American White Multiple Races,Male,Multiracial,,Chicago,Near South,City of Chicago
Pilsen Center for Cultural and Contemporary Arts,Chicago,60608,Black or African American Hispanic or Latino/a/x White Multiple Races,Male,Multiracial,Hispanic or Latino/a/x,Chicago,Near South,City of Chicago
"Workshop Apothecary, LLC",Chicago,60608,Hispanic or Latino/a/x Multiple Races Asian American,Female,Multiracial,Hispanic or Latino/a/x,Chicago,Near South,City of Chicago
Sonya Bogdanova,Chicago,60608,White Not Listed,Female,Multiracial,,Chicago,Near South,City of Chicago
Brad Stumpf,Chicago,60608,White,Male,White,,Chicago,Near South,City of Chicago
Chicago Maritime Arts Center,Chicago,60608,White,Male,White,,Chicago,Near South,City of Chicago
Clinard Dance,Chicago,60608,White,Female,White,,Chicago,Near South,City of Chicago
HFOHR INC,Chicago,60608,White,Female,White,,Chicago,Near South,City of Chicago
Jeffrey Michael Austin,Chicago,60608,White,Nonbinary,White,,Chicago,Near South,City of Chicago
John Himmelfarb Company,Chicago,60608,White,Male,White,,Chicago,Near South,City of Chicago
MAGIC AFTER LLC,Chicago,60608,White,Not listed,White,,Chicago,Near South,City of Chicago
Manual Cinema LLC,Chicago,60608,White,Male,White,,Chicago,Near South,City of Chicago
On The Real Film,Chicago,60608,White,Female,White,,Chicago,Near South,City of Chicago
Sarah Quillin,Chicago,60608,White,Female,White,,Chicago,Near South,City of Chicago
The Artists Cooperative Residency and Exhibitions Project,Chicago,60608,White,Female,White,,Chicago,Near South,City of Chicago
Daniel Delgado,Chicago,60608,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Near South,City of Chicago
JEFFLY GABRIELA MOLINA BRICENO,Chicago,60608,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Chicago,Near South,City of Chicago
Pilsen Public Art Tours LLC,Chicago,60608,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Near South,City of Chicago
The Boy Illinois,Chicago,60609,American Indian/Native American or Alaska Native,Male,American Indian/Native American or Alaska Native,,Chicago,Mid South,City of Chicago
Heritage Museum of Asian Art,Chicago,60609,Asian American,Male,Asian American,,Chicago,Mid South,City of Chicago
OH Art Foundation,Chicago,60609,Asian American,Female,Asian American,,Chicago,Mid South,City of Chicago
Zhou B Art Center,Chicago,60609,Asian American,Male,Asian American,,Chicago,Mid South,City of Chicago
Creative building enterprises llc,Chicago,60609,Black or African American,Female,Black or African American,,Chicago,Mid South,City of Chicago
"Superlative Muzak, Inc.",Chicago,60609,Black or African American,Male,Black or African American,,Chicago,Mid South,City of Chicago
Nevermind llc,Chicago,60609,Multiple Races,Male,Multiracial,,Chicago,Mid South,City of Chicago
Unified Legacy Inc.,Chicago,60609,Black or African American American Indian/Native American or Alaska Native,Male,Multiracial,,Chicago,Mid South,City of Chicago
Gender Nah Publishing Corporation,Chicago,60609,White Not Listed,Nonbinary,Multiracial,,Chicago,Mid South,City of Chicago
Miguel Aguilar,Chicago,60609,Hispanic or Latino/a/x Native Hawaiian or Other Pacific Islander,Male,Native Hawaiian or Other Pacific Islander,Hispanic or Latino/a/x,Chicago,Mid South,City of Chicago
Chicago Arts Partnerships in Education,Chicago,60609,White,Female,White,,Chicago,Mid South,City of Chicago
Chicago Running & Special Events Management Inc,Chicago,60609,White,Male,White,,Chicago,Mid South,City of Chicago
Marcos Raya,Chicago,60609,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Mid South,City of Chicago
Paula Silva Artistry Co,Chicago,60609,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Chicago,Mid South,City of Chicago
TRQPITECA LLC,Chicago,60609,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Chicago,Mid South,City of Chicago
Sophia's Choice,Chicago,60610,Asian American,Female,Asian American,,Chicago,Near North,City of Chicago
Congo Square Theatre,Chicago,60610,Black or African American,Female,Black or African American,,Chicago,Near North,City of Chicago
DISCOVER MUSIC DISCOVER LIFE INC,Chicago,60610,Black or African American,Male,Black or African American,,Chicago,Near North,City of Chicago
Minor Major Entertainment,Chicago,60610,Black or African American,Female,Black or African American,,Chicago,Near North,City of Chicago
Persida Louison,Chicago,60610,Black or African American,Female,Black or African American,,Chicago,Near North,City of Chicago
"Rebellion Stephanie Wheat, LLC",Chicago,60610,Black or African American,Female,Black or African American,,Chicago,Near North,City of Chicago
International Museum of Surgical Science,Chicago,60610,I decline to answer,Not listed,I decline to answer,,Chicago,Near North,City of Chicago
"Alan Koppel Gallery, Inc.",Chicago,60610,White,Male,White,,Chicago,Near North,City of Chicago
"Artists, Events & Entertainment Inc.",Chicago,60610,White,Female,White,,Chicago,Near North,City of Chicago
"Hedwig Dances, Inc.",Chicago,60610,White,Female,White,,Chicago,Near North,City of Chicago
Jack Design,Chicago,60610,White,Female,White,,Chicago,Near North,City of Chicago
JAM Productions LLC,Chicago,60610,White,Male,White,,Chicago,Near North,City of Chicago
"Riviera Productions, Inc.",Chicago,60610,White,Male,White,,Chicago,Near North,City of Chicago
"Riviera Productions, Inc.",Chicago,60610,White,Male,White,,Chicago,Near North,City of Chicago
Ruth Page Foundation,Chicago,60610,White,Female,White,,Chicago,Near North,City of Chicago
"Standing Room Only, Inc.",Chicago,60610,White,Male,White,,Chicago,Near North,City of Chicago
The Ruth Page Foundation,Chicago,60610,White,Female,White,,Chicago,Near North,City of Chicago
"Victoria Operating Company, LLC",Chicago,60610,White,Male,White,,Chicago,Near North,City of Chicago
Windy City Winds NFP,Chicago,60610,White,Female,White,,Chicago,Near North,City of Chicago
Chicago National Brewseum,Chicago,60610,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Chicago,Near North,City of Chicago
"Life Of A Pole Trick, Inc.",Chicago,60610,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Chicago,Near North,City of Chicago
Windy Indie LLC,Chicago,60611,Black or African American,Female,Black or African American,,Chicago,Downtown,City of Chicago
Rami Gabriel,Chicago,60611,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,Chicago,Downtown,City of Chicago
"Celebrity Workshops, LLC",Chicago,60611,Not Listed,Male,Not Listed,,Chicago,Downtown,City of Chicago
Bones Jugs LLC,Chicago,60611,White,Male,White,,Chicago,Downtown,City of Chicago
Chicago Children's Museum,Chicago,60611,White,Female,White,,Chicago,Downtown,City of Chicago
Chicago Shakespeare Theater,Chicago,60611,White,Female,White,,Chicago,Downtown,City of Chicago
CINDERELLA VALET CLEANERS INC,Chicago,60611,White,Male,White,,Chicago,Downtown,City of Chicago
Collin PIerson,Chicago,60611,White,Male,White,,Chicago,Downtown,City of Chicago
Compass Creative Dramatics,Chicago,60611,White,Female,White,,Chicago,Downtown,City of Chicago
Museum Of Contemporary Art,Chicago,60611,White,Female,White,,Chicago,Downtown,City of Chicago
"Navy Pier, Inc.",Chicago,60611,White,Female,White,,Chicago,Downtown,City of Chicago
WINTERS JAZZ CLUB LLC,Chicago,60611,White,Male,White,,Chicago,Downtown,City of Chicago
Brian Hernandez,Chicago,60611,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Downtown,City of Chicago
Amber Murdock,Chicago,60612,Black or African American,Female,Black or African American,,Chicago,Near West,City of Chicago
J.P. Floyd Music,Chicago,60612,Black or African American,Male,Black or African American,,Chicago,Near West,City of Chicago
FBP Holdings LLC,Chicago,60612,I decline to answer,Male,I decline to answer,,Chicago,Near West,City of Chicago
Hexagram Media,Chicago,60612,Multiple Races,Male,Multiracial,,Chicago,Near West,City of Chicago
Brian Enos Choreography,Chicago,60612,White,Male,White,,Chicago,Near West,City of Chicago
"Camera Department, Inc.",Chicago,60612,White,Female,White,,Chicago,Near West,City of Chicago
Snow City Arts Foundation,Chicago,60612,White,Female,White,,Chicago,Near West,City of Chicago
Tall City Inc.,Chicago,60612,White,Male,White,,Chicago,Near West,City of Chicago
Dragonfly Gallery and Creative Spaces,Chicago,60612,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Chicago,Near West,City of Chicago
Hakka Horse Productions LLC,Chicago,60613,Asian American,Male,Asian American,,Chicago,North Side,City of Chicago
Lock Chicago LLC,Chicago,60613,Asian American,Male,Asian American,,Chicago,North Side,City of Chicago
Brenna Quinn,Chicago,60613,I decline to answer,Female,I decline to answer,,Chicago,North Side,City of Chicago
Norton O'Meara,Chicago,60613,I decline to answer,I decline to answer,I decline to answer,,Chicago,North Side,City of Chicago
"Windy City Performing Arts, Inc.",Chicago,60613,I decline to answer,I decline to answer,I decline to answer,,Chicago,North Side,City of Chicago
Midwest Dev Co,Chicago,60613,Multiple Races Hispanic or Latino/a/x,Nonbinary,Multiracial,Hispanic or Latino/a/x,Chicago,North Side,City of Chicago
Otherworld Theatre Company,Chicago,60613,Black or African American American Indian/Native American or Alaska Native,Male,Multiracial,,Chicago,North Side,City of Chicago
"About Face Theatre Collective, Inc",Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
AIRIN LLC,Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
Andrew Diehl,Chicago,60613,White,Male,White,,Chicago,North Side,City of Chicago
Ballroom Dance Chicago LLC,Chicago,60613,White,Male,White,,Chicago,North Side,City of Chicago
Chicago a cappella,Chicago,60613,White,Male,White,,Chicago,North Side,City of Chicago
"Cubby Bear Lounge, Ltd.",Chicago,60613,White,Male,White,,Chicago,North Side,City of Chicago
"GREEN SCREENZ ENTERTAINMENT GROUP, LLC",Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
Ingrid's Originals Inc.,Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
N/A,Chicago,60613,White,Male,White,,Chicago,North Side,City of Chicago
Nuns4Fun Entertainment,Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
Nuns4Fun Entertainment,Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
Remy Bumppo Theatre Company,Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
Sharing Notes,Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
Shattered Globe Theatre,Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
"Shel-Shocked Designs, LLC",Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
SPENCER FOR HIRE INC,Chicago,60613,White,Male,White,,Chicago,North Side,City of Chicago
"The Music Trust, LLC",Chicago,60613,White,Male,White,,Chicago,North Side,City of Chicago
Tony DiFalco,Chicago,60613,White,Male,White,,Chicago,North Side,City of Chicago
Z...ART & Graphics,Chicago,60613,White,Female,White,,Chicago,North Side,City of Chicago
"Ho Etsu, Inc.",Chicago,60614,Black or African American,Female,Black or African American,,Chicago,North Side,City of Chicago
Joslyn Y Jones,Chicago,60614,Black or African American,Female,Black or African American,,Chicago,North Side,City of Chicago
Gus Giordanos Jazz Dance Chicago Inc,Chicago,60614,I decline to answer,Female,I decline to answer,,Chicago,North Side,City of Chicago
Danielle Klinenberg,Chicago,60614,White Multiple Races Not Listed,Female,Multiracial,,Chicago,North Side,City of Chicago
Chicago Theatre Group Inc.,Chicago,60614,White,Male,White,,Chicago,North Side,City of Chicago
Facets Multi-media,Chicago,60614,White,Female,White,,Chicago,North Side,City of Chicago
Gilcorp Inc,Chicago,60614,White,Male,White,,Chicago,North Side,City of Chicago
Jason Singer,Chicago,60614,White,Male,White,,Chicago,North Side,City of Chicago
Kevin L. Van Egeren,Chicago,60614,White,Male,White,,Chicago,North Side,City of Chicago
LightPoets LLC,Chicago,60614,White,Male,White,,Chicago,North Side,City of Chicago
Shaverdi Inc.,Chicago,60614,White,Male,White,,Chicago,North Side,City of Chicago
Andrew Thomas (Drummer Drux),Chicago,60615,Black or African American,Male,Black or African American,,Chicago,Mid South,City of Chicago
Capoeira Chicago,Chicago,60615,Black or African American,Female,Black or African American,,Chicago,Mid South,City of Chicago
Derek D. Henderon,Chicago,60615,Black or African American,Male,Black or African American,,Chicago,Mid South,City of Chicago
JAZNU Music and Education Org.,Chicago,60615,Black or African American,Female,Black or African American,,Chicago,Mid South,City of Chicago
M. Noble Productions LLC,Chicago,60615,Black or African American,Female,Black or African American,,Chicago,Mid South,City of Chicago
Neak Imprints LLC,Chicago,60615,Black or African American,Male,Black or African American,,Chicago,Mid South,City of Chicago
"Nouveau Niche, LLC Lynn solar Music",Chicago,60615,Black or African American,Female,Black or African American,,Chicago,Mid South,City of Chicago
Stevie Edwards,Chicago,60615,Black or African American,Male,Black or African American,,Chicago,Mid South,City of Chicago
Studio Elaine,Chicago,60615,Black or African American,Female,Black or African American,,Chicago,Mid South,City of Chicago
T A G Foundation,Chicago,60615,Black or African American,Female,Black or African American,,Chicago,Mid South,City of Chicago
Due South Foundation,Chicago,60615,I decline to answer,I decline to answer,I decline to answer,,Chicago,Mid South,City of Chicago
Le Cantanti di Chicago,Chicago,60615,I decline to answer,Female,I decline to answer,,Chicago,Mid South,City of Chicago
The Revival,Chicago,60615,I decline to answer,I decline to answer,I decline to answer,,Chicago,Mid South,City of Chicago
The Revival LLC,Chicago,60615,I decline to answer,I decline to answer,I decline to answer,,Chicago,Mid South,City of Chicago
Maria Welch Piano Studio,Chicago,60615,American Indian/Native American or Alaska Native White,Female,Multiracial,,Chicago,Mid South,City of Chicago
ITwirl Dance Programs,Chicago,60615,Black or African American White,Female,Multiracial,,Chicago,Mid South,City of Chicago
Blake Cooper LTD,Chicago,60615,White,Male,White,,Chicago,Mid South,City of Chicago
Janet Jackson,Chicago,60615,White,Female,White,,Chicago,Mid South,City of Chicago
Water People Theater Group,Chicago,60615,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Chicago,Mid South,City of Chicago
Anna Angela Nguyen,Chicago,60616,Asian American,Female,Asian American,,Chicago,Near South,City of Chicago
Chinatown Museum Foundation,Chicago,60616,Asian American,Male,Asian American,,Chicago,Near South,City of Chicago
"Kalapriya Foundation, Center for Indian Performing Arts",Chicago,60616,Asian American,Female,Asian American,,Chicago,Near South,City of Chicago
South Asia Institute,Chicago,60616,Asian American,Male,Asian American,,Chicago,Near South,City of Chicago
"The Art Gallery, LLC",Chicago,60616,Asian American,Male,Asian American,,Chicago,Near South,City of Chicago
"360 MIND BODY SOUL, LLC",Chicago,60616,Black or African American,Female,Black or African American,,Chicago,Near South,City of Chicago
Darlene Jackson,Chicago,60616,Black or African American,Female,Black or African American,,Chicago,Near South,City of Chicago
National Museum of Gospel Music,Chicago,60616,Black or African American,Female,Black or African American,,Chicago,Near South,City of Chicago
Taylor Mallory,Chicago,60616,Black or African American,Male,Black or African American,,Chicago,Near South,City of Chicago
"Chicago Film Archives, NFP",Chicago,60616,I decline to answer,I decline to answer,I decline to answer,,Chicago,Near South,City of Chicago
Elliot Mandel,Chicago,60616,White,Male,White,,Chicago,Near South,City of Chicago
Emily Breidenbach,Chicago,60616,White,Female,White,,Chicago,Near South,City of Chicago
PRAIRIE AVENUE GALLERY GROUP,Chicago,60616,White,Female,White,,Chicago,Near South,City of Chicago
Reggie's Bar and Grill LLC,Chicago,60616,White,Male,White,,Chicago,Near South,City of Chicago
Reggies Music Club LLC,Chicago,60616,White,Male,White,,Chicago,Near South,City of Chicago
Artery Archives Studio LLC,Chicago,60616,White Hispanic or Latino/a/x,Female,White,Hispanic or Latino/a/x,Chicago,Near South,City of Chicago
K Johnson Pictures INC,Chicago,60617,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
kush kidz llc,Chicago,60617,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
Mother’s family Hand,Chicago,60617,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
The South Side Jazz Coalition,Chicago,60617,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
John Haggerty,Chicago,60617,I decline to answer,I decline to answer,I decline to answer,,Chicago,Far South,City of Chicago
"Tied Tight Ventures, LLC",Chicago,60617,Multiple Races,Male,Multiracial,,Chicago,Far South,City of Chicago
Roshan T Murthy,Chicago,60618,Asian American,Male,Asian American,,Chicago,Northwest,City of Chicago
At Pluto LTD,Chicago,60618,Black or African American,Male,Black or African American,,Chicago,Northwest,City of Chicago
B. Len Artistry Llc,Chicago,60618,Black or African American,Male,Black or African American,,Chicago,Northwest,City of Chicago
CoClubChicago LLC,Chicago,60618,Black or African American,Female,Black or African American,,Chicago,Northwest,City of Chicago
Constellation Arts LLC,Chicago,60618,Black or African American,Male,Black or African American,,Chicago,Northwest,City of Chicago
N.Y. Titans Global Inc.,Chicago,60618,Black or African American,Male,Black or African American,,Chicago,Northwest,City of Chicago
Midwest Aikido Center,Chicago,60618,I decline to answer,I decline to answer,I decline to answer,,Chicago,Northwest,City of Chicago
Tim Stine,Chicago,60618,I decline to answer,Male,I decline to answer,,Chicago,Northwest,City of Chicago
Luis M Rosado,Chicago,60618,Hispanic or Latino/a/x White Black or African American,Male,Multiracial,Hispanic or Latino/a/x,Chicago,Northwest,City of Chicago
Yes Ma'am Circus,Chicago,60618,Hispanic or Latino/a/x White,Female,White,Hispanic or Latino/a/x,Chicago,Northwest,City of Chicago
Aly Jados,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
American Eagle Productions,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
Beyond This Point Performing Arts Association NFP,Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Bridge Art NFP,Chicago,60618,White,Nonbinary,White,,Chicago,Northwest,City of Chicago
Chris Johnson - Cj Audio Solutions,Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Color Club LLC,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
"Dal Niente New Music, NFP",Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Greg Obis,Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Jamie Gilbert,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
Janet Cramer,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
Jennifer Davis,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
Karin McKie,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
Laura Berger,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
"Leeway Studios, LLC",Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Michael Hudson-Casanova,Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Michael Workman,Chicago,60618,White,Nonbinary,White,,Chicago,Northwest,City of Chicago
Midsommer Flight NFP,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
Nora Sharp,Chicago,60618,White,Nonbinary,White,,Chicago,Northwest,City of Chicago
Outermost Agency LLC,Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Paul Mertens,Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
"Picture Day, Inc.",Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
"Roberts-Bradley, Inc.",Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
"Sleeping Village, Inc.",Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Sway Dance Studio Inc,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
Third Coast International Audio Festival,Chicago,60618,White,Nonbinary,White,,Chicago,Northwest,City of Chicago
Vichcraft & Co,Chicago,60618,White,Female,White,,Chicago,Northwest,City of Chicago
"You Are Beautiful, Inc.",Chicago,60618,White,Male,White,,Chicago,Northwest,City of Chicago
Adrian Ruiz,Chicago,60618,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Northwest,City of Chicago
Beat Kitchen on Belmont LLC,Chicago,60618,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Northwest,City of Chicago
Paul and Joes Lounge Inc,Chicago,60618,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Northwest,City of Chicago
Puerto Rican Arts Alliance,Chicago,60618,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Northwest,City of Chicago
Sebastian Lama,Chicago,60618,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Northwest,City of Chicago
A Little Paint,Chicago,60619,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
A Polished Work Inc.,Chicago,60619,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
Eboney Dynamic Financial Consulting Services,Chicago,60619,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
Gatlin Production Recording Studio,Chicago,60619,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
Gregory Stewart Entertainment LLC,Chicago,60619,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
Melodic Events LLC,Chicago,60619,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
"Pictures Only, LLC",Chicago,60619,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
Sterling Price,Chicago,60619,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
Stoviink Creatives,Chicago,60619,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
Tarrence Heard,Chicago,60619,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
Val's Paper Passion,Chicago,60619,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
Yessenia Nava,Chicago,60619,White,Female,White,,Chicago,Far South,City of Chicago
"Artist Life, NFP",Chicago,60620,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
BDavis Designs LLC,Chicago,60620,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
Brenda K. Fondren,Chicago,60620,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
"En Pointe Dance Productions, LLC",Chicago,60620,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
"Griffin Gallery and Interiors, Inc.",Chicago,60620,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
KAOS Bulldogs Cheer and Dance,Chicago,60620,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
Kenesha K Reed,Chicago,60620,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
Musical Arts Institute,Chicago,60620,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
Robert Davis,Chicago,60620,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
"The Blue Sapphire Experience, Ltd",Chicago,60620,Black or African American,Male,Black or African American,,Chicago,Far South,City of Chicago
The Original Sixty Fourth Street Beach Drummers Inc.,Chicago,60620,Black or African American,Female,Black or African American,,Chicago,Far South,City of Chicago
"j. st. jaimes, LLC.",Chicago,60620,Black or African American Hispanic or Latino/a/x,Female,Black or African American,Hispanic or Latino/a/x,Chicago,Far South,City of Chicago
Madtactics Technology & Media,Chicago,60620,I decline to answer,Male,I decline to answer,,Chicago,Far South,City of Chicago
brownstone real estate group llc,Chicago,60621,Black or African American,Male,Black or African American,,Chicago,Mid South,City of Chicago
"Joyful Soundz, LLC",Chicago,60621,Black or African American,Female,Black or African American,,Chicago,Mid South,City of Chicago
Yosef,Chicago,60621,Black or African American,Male,Black or African American,,Chicago,Mid South,City of Chicago
Aaliyah Ward,Chicago,60621,Not Listed,Female,Not Listed,,Chicago,Mid South,City of Chicago
Sen Morimoto,Chicago,60622,Asian American,I decline to answer,Asian American,,Chicago,Near West,City of Chicago
Antar Jackson,Chicago,60622,Black or African American,Male,Black or African American,,Chicago,Near West,City of Chicago
Urban Gateways,Chicago,60622,Black or African American Hispanic or Latino/a/x,Female,Black or African American,Hispanic or Latino/a/x,Chicago,Near West,City of Chicago
Ganser LLC,Chicago,60622,I decline to answer,I decline to answer,I decline to answer,,Chicago,Near West,City of Chicago
Lane Beckstrom,Chicago,60622,I decline to answer,I decline to answer,I decline to answer,,Chicago,Near West,City of Chicago
Lifers Inc.,Chicago,60622,I decline to answer,Male,I decline to answer,,Chicago,Near West,City of Chicago
"Intercultural Music Production, LLC",Chicago,60622,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,Chicago,Near West,City of Chicago
Laith the Lion LLC,Chicago,60622,Middle Eastern or North African (MENA)/Arab American,Female,Middle Eastern or North African (MENA)/Arab American,,Chicago,Near West,City of Chicago
826CHI,Chicago,60622,Black or African American American Indian/Native American or Alaska Native,Female,Multiracial,,Chicago,Near West,City of Chicago
Pogi Studios Inc.,Chicago,60622,Black or African American Hispanic or Latino/a/x Asian American,Male,Multiracial,Hispanic or Latino/a/x,Chicago,Near West,City of Chicago
Joseph George Shadid,Chicago,60622,Middle Eastern or North African (MENA)/Arab American White,Male,Multiracial,,Chicago,Near West,City of Chicago
David Ben-Porat Music LLC,Chicago,60622,Middle Eastern or North African (MENA)/Arab American White Multiple Races,Male,Multiracial,,Chicago,Near West,City of Chicago
Nicole Gutierrez,Chicago,60622,Hispanic or Latino/a/x Multiple Races Black or African American,Female,Multiracial,Hispanic or Latino/a/x,Chicago,Near West,City of Chicago
ALEXA VISCIUS STUDIO,Chicago,60622,White,Female,White,,Chicago,Near West,City of Chicago
"BBKY, LLC",Chicago,60622,White,Female,White,,Chicago,Near West,City of Chicago
"Black Box Acting Studio, LLC",Chicago,60622,White,Male,White,,Chicago,Near West,City of Chicago
BNNY LLC,Chicago,60622,White,Female,White,,Chicago,Near West,City of Chicago
Brittany Clapper,Chicago,60622,White,Female,White,,Chicago,Near West,City of Chicago
BuildWithWood,Chicago,60622,White,Female,White,,Chicago,Near West,City of Chicago
Clare Britt Photo,Chicago,60622,White,Female,White,,Chicago,Near West,City of Chicago
Dorothy Downstairs LLC,Chicago,60622,White,Female,White,,Chicago,Near West,City of Chicago
Facility,Chicago,60622,White,Male,White,,Chicago,Near West,City of Chicago
"Filter Photo, NFP",Chicago,60622,White,Female,White,,Chicago,Near West,City of Chicago
